Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,2/26/2016,"1,154,887","34,353"
Rockettes,2/27/2016,"1,323,584","17,514"
Rockettes,2/28/2016,"970,497","21,002"
Rockettes,2/29/2016,"1,382,932","35,715"
Rockettes,3/1/2016,"884,976","47,297"
Rockettes,3/2/2016,"878,000","35,119"
Rockettes,3/3/2016,"523,669","40,944"
Rockettes,3/4/2016,"241,829","39,036"
Rockettes,3/5/2016,"180,005","23,791"
Rockettes,3/6/2016,"138,931","25,077"
Rockettes,3/7/2016,"203,830","31,954"
Rockettes,3/8/2016,"758,404","38,741"
Rockettes,3/9/2016,"702,514","37,558"
Rockettes,3/10/2016,"296,263","35,541"
Rockettes,3/11/2016,"723,905","45,093"
Rockettes,3/12/2016,"351,365","37,000"
Rockettes,3/14/2016,"406,674","60,372"
Rockettes,3/15/2016,"258,940","41,700"
Rockettes,3/16/2016,"464,582","33,163"
Rockettes,3/17/2016,"613,788","43,317"
Rockettes,3/18/2016,"1,634,653","34,097"
Rockettes,3/19/2016,"1,250,635","17,921"
Rockettes,3/20/2016,"320,894","17,621"
Rockettes,3/21/2016,"321,341","38,882"
Rockettes,3/22/2016,"314,716","148,614"
Rockettes,3/23/2016,"411,217","30,222"
Rockettes,3/24/2016,"378,768","33,913"
Rockettes,3/25/2016,"549,605","31,525"
Rockettes,3/26/2016,"454,932","29,647"
Rockettes,3/27/2016,"344,250","20,024"
Rockettes,3/28/2016,"288,098","45,454"
Rockettes,3/29/2016,"391,614","37,850"
Rockettes,3/30/2016,"325,412","85,267"
Rockettes,3/31/2016,"444,472","42,103"
Rockettes,4/1/2016,"521,007","40,837"
Rockettes,4/2/2016,"202,128","18,600"
Rockettes,4/3/2016,"189,170","22,262"
Rockettes,4/4/2016,"507,302","38,735"
Rockettes,4/5/2016,"733,142","43,848"
Rockettes,4/6/2016,"338,564","80,145"
Rockettes,4/7/2016,"276,784","38,023"
Rockettes,4/8/2016,"663,147","40,373"
Rockettes,4/9/2016,"345,663","21,011"
Rockettes,4/10/2016,"71,435","16,613"
Rockettes,4/11/2016,"329,686","33,041"
Rockettes,4/12/2016,"530,609","38,178"
Rockettes,4/13/2016,"482,177","33,306"
Rockettes,4/14/2016,"613,732","26,685"
Rockettes,4/15/2016,"598,777","30,502"
Rockettes,4/16/2016,"347,914","14,725"
Rockettes,4/17/2016,"514,445","20,926"
Rockettes,4/18/2016,"422,890","56,476"
Rockettes,4/19/2016,"412,066","40,910"
Rockettes,4/20/2016,"427,960","52,471"
Rockettes,4/21/2016,"219,884","48,116"
Rockettes,4/22/2016,"494,622","47,129"
Rockettes,4/23/2016,"335,563","15,493"
Rockettes,4/24/2016,"248,856","23,151"
Rockettes,4/25/2016,"379,085","34,506"
Rockettes,4/26/2016,"667,036","48,138"
Rockettes,4/27/2016,"572,893","60,229"
Rockettes,4/28/2016,"454,682","47,297"
Rockettes,4/29/2016,"469,873","48,422"
Rockettes,4/30/2016,"538,505","34,921"
Rockettes,5/1/2016,"286,340","24,202"
Rockettes,5/2/2016,"499,425","37,426"
Rockettes,5/3/2016,"764,414","42,099"
Rockettes,5/4/2016,"783,007","49,147"
Rockettes,5/5/2016,"837,789","80,747"
Rockettes,5/6/2016,"970,576","55,961"
Rockettes,5/7/2016,"636,631","29,933"
Rockettes,5/8/2016,"368,359","40,151"
Rockettes,5/9/2016,"587,777","34,840"
Rockettes,5/10/2016,"638,521","136,113"
Rockettes,5/11/2016,"612,470","41,345"
Rockettes,5/12/2016,"887,684","58,201"
Rockettes,5/13/2016,"827,170","91,664"
Rockettes,5/14/2016,"392,543","35,028"
Rockettes,5/15/2016,"454,670","33,637"
Rockettes,5/16/2016,"443,640","35,867"
Rockettes,5/17/2016,"356,830","46,126"
Rockettes,5/18/2016,"624,020","51,527"
Rockettes,5/19/2016,"704,431","47,944"
Rockettes,5/20/2016,"1,246,193","46,487"
Rockettes,5/21/2016,"1,409,788","43,003"
Rockettes,5/22/2016,"617,116","26,086"
Rockettes,5/23/2016,"392,743","45,609"
Rockettes,5/24/2016,"687,564","45,278"
Rockettes,5/25/2016,"754,056","91,620"
Rockettes,5/26/2016,"447,180","49,303"
Rockettes,5/27/2016,"412,591","41,716"
Rockettes,5/28/2016,"333,329","20,205"
Rockettes,5/29/2016,"437,432","28,854"
Rockettes,5/30/2016,"342,797","46,073"
Rockettes,5/31/2016,"485,689","50,919"
Rockettes,6/1/2016,"586,816","38,418"
Rockettes,6/2/2016,"571,583","38,792"
