DATE,AWND,PRCP,SNOW,TMAX,TMIN
4/11/2016,6.93,0.01,0,65,43
4/12/2016,5.82,0.2,0,59,45
4/13/2016,4.47,0,0,58,40
4/14/2016,6.49,0,0,62,43
4/15/2016,3.8,0,0,65,42
4/16/2016,4.92,0,0,68,43
4/17/2016,2.91,0,0,75,44
4/18/2016,3.8,0,0,82,51
4/19/2016,7.61,0,0,73,55
4/20/2016,6.04,0,0,69,49
4/21/2016,5.59,0,0,73,49
4/22/2016,4.25,0,0,79,62
4/23/2016,7.16,0.16,0,71,54
4/24/2016,5.82,0,0,68,47
4/25/2016,4.03,0,0,69,50
4/26/2016,7.16,0.24,0,60,47
4/27/2016,4.25,0,0,62,46
4/28/2016,4.7,0,0,59,48
4/29/2016,5.82,0.05,0,58,45
4/30/2016,5.82,0,0,65,46
5/1/2016,4.92,0.16,0,51,45
5/2/2016,2.24,0.04,0,60,45
5/3/2016,6.04,0.61,0,56,51
5/4/2016,8.72,0.01,0,52,48
5/5/2016,8.28,0,0,57,46
5/6/2016,7.83,0.54,0,54,48
5/7/2016,4.47,0,0,60,48
5/8/2016,4.7,0.16,0,66,49
5/9/2016,5.14,0,0,72,52
5/10/2016,4.92,0,0,63,50
5/11/2016,2.46,0,0,76,50
5/12/2016,3.36,0,0,80,56
5/13/2016,3.36,0.25,0,65,57
5/14/2016,3.36,0,0,73,56
5/15/2016,3.36,0,0,59,46
5/16/2016,3.36,0,0,66,43
5/17/2016,3.8,0,0,64,52
5/18/2016,3.8,0,0,68,52
5/19/2016,1.34,0,0,73,54
5/20/2016,4.47,0,0,76,53
5/21/2016,3.8,0.04,0,66,54
5/22/2016,3.58,0.09,0,70,52
5/23/2016,2.46,0.02,0,78,56
5/24/2016,2.01,0.18,0,73,58
5/25/2016,4.25,0,0,88,61
5/26/2016,3.58,0,0,90,69
5/27/2016,3.8,0,0,87,73
5/28/2016,4.47,0,0,92,71
5/29/2016,4.92,0,0,87,70
5/30/2016,3.13,1.65,0,82,68
5/31/2016,3.13,0,0,85,71
6/1/2016,6.04,0,0,83,66
6/2/2016,4.7,0,0,78,62
6/3/2016,1.34,0.04,0,70,63
6/4/2016,2.46,0.4,0,83,66
6/5/2016,3.36,0.91,0,71,65
6/6/2016,5.59,0,0,83,65
6/7/2016,5.14,0,0,85,64
6/8/2016,7.61,0.45,0,67,52
6/9/2016,8.95,0,0,71,54
6/10/2016,5.37,0,0,77,57
6/11/2016,3.36,0,0,88,59
6/12/2016,8.05,0,0,83,62
6/13/2016,7.38,0,0,74,57
6/14/2016,4.25,0,0,79,58
6/15/2016,2.46,0,0,85,62
6/16/2016,1.79,0.22,0,74,65
6/17/2016,4.7,0,0,78,63
6/18/2016,2.68,0,0,87,61
6/19/2016,2.91,0,0,88,66
6/20/2016,3.13,0,0,84,64
6/21/2016,4.92,0,0,87,72
6/22/2016,4.03,0,0,86,68
6/23/2016,2.01,0,0,83,69
6/24/2016,6.26,0,0,84,67
6/25/2016,3.58,0,0,86,64
6/26/2016,2.46,0,0,87,67
6/27/2016,4.92,0.45,0,83,67
6/28/2016,3.58,0.12,0,76,68
6/29/2016,2.24,0.01,0,83,67
6/30/2016,2.91,0,0,85,67
7/1/2016,3.36,0.83,0,79,66
7/2/2016,5.37,0,0,76,63
7/3/2016,3.13,0,0,78,64
7/4/2016,3.13,0.49,0,84,66
7/5/2016,2.91,0.66,0,86,69
7/6/2016,2.46,0,0,91,75
7/7/2016,2.01,0.04,0,89,77
7/8/2016,5.37,0.08,0,86,67
7/9/2016,4.03,0.53,0,72,65
7/10/2016,4.25,0,0,80,66
7/11/2016,3.36,0,0,81,65
7/12/2016,4.25,0,0,82,68
7/13/2016,4.7,0,0,85,71
7/14/2016,2.91,0.62,0,88,73
7/15/2016,4.47,0,0,88,79
7/16/2016,4.25,0,0,90,75
7/17/2016,2.68,0,0,89,75
7/18/2016,5.82,0.35,0,93,72
7/19/2016,4.92,0,0,83,73
7/20/2016,3.13,0,0,85,68
7/21/2016,5.14,0,0,90,71
7/22/2016,6.49,0,0,94,74
7/23/2016,4.92,0,0,96,80
7/24/2016,4.03,0,0,94,75
