,full_date,tm_event_name,count,20161,20162,20163,20164,20165,20171,20172,20173,20174,20175
272,8/3/2016,ENK1102E,14,,,,,,,,,,
273,8/2/2016,ENK1102E,12,,,,,,,,,,
274,8/1/2016,ENK1102E,44,,,,,,,,,,
275,7/31/2016,ENK1102E,2,,,,,,,,,,
276,7/30/2016,ENK1102E,2,,,,,,,,,,
277,7/29/2016,ENK1102E,40,,,,,,,,,,
278,7/28/2016,ENK1102E,27,,,,,,,,,,
279,7/27/2016,ENK1102E,48,,,,,,,,,,
280,7/26/2016,ENK1102E,20,,,,,,,,,,
281,7/25/2016,ENK1102E,31,,,,,,,,,,
282,7/22/2016,ENK1102E,34,,,,,,,,,,
283,7/21/2016,ENK1102E,29,,,,,,,,,,
284,7/20/2016,ENK1102E,4,,,,,,,,,,
285,7/19/2016,ENK1102E,17,,,,,,,,,,
286,7/18/2016,ENK1102E,28,,,,,,,,,,
287,7/15/2016,ENK1102E,18,,,,,,,,,,
288,7/14/2016,ENK1102E,16,,,,,,,,,,
289,7/13/2016,ENK1102E,22,,,,,,,,,,
290,7/12/2016,ENK1102E,32,,,,,,,,,,
291,7/11/2016,ENK1102E,24,,,,,,,,,,
292,7/10/2016,ENK1102E,2,,,,,,,,,,
293,7/8/2016,ENK1102E,36,,,,,,,,,,
294,7/7/2016,ENK1102E,27,,,,,,,,,,
295,7/6/2016,ENK1102E,43,,,,,,,,,,
296,7/5/2016,ENK1102E,44,,,,,,,,,,
297,7/4/2016,ENK1102E,2,,,,,,,,,,
298,7/3/2016,ENK1102E,16,,,,,,,,,,
299,7/2/2016,ENK1102E,2,,,,,,,,,,
300,7/1/2016,ENK1102E,35,,,,,,,,,,
301,6/30/2016,ENK1102E,59,,,,,,,,,,
302,6/29/2016,ENK1102E,64,,,,,,,,,,
303,6/28/2016,ENK1102E,182,,,,,,,,,,
304,6/27/2016,ENK1102E,37,,,,,,,,,,
305,6/25/2016,ENK1102E,2,,,,,,,,,,
306,6/24/2016,ENK1102E,61,,,,,,,,,,
307,6/23/2016,ENK1102E,65,,,,,,,,,,
308,6/22/2016,ENK1102E,76,,,,,,,,,,
309,6/21/2016,ENK1102E,34,,,,,,,,,,
310,6/20/2016,ENK1102E,12,,,,,,,,,,
311,6/18/2016,ENK1102E,8,,,,,,,,,,
312,6/17/2016,ENK1102E,17,,,,,,,,,,
313,6/16/2016,ENK1102E,29,,,,,,,,,,
314,6/15/2016,ENK1102E,76,,,,,,,,,,
315,6/14/2016,ENK1102E,36,,,,,,,,,,
316,6/13/2016,ENK1102E,28,,,,,,,,,,
317,6/10/2016,ENK1102E,38,,,,,,,,,,
318,6/9/2016,ENK1102E,106,,,,,,,,,,
319,6/8/2016,ENK1102E,21,,,,,,,,,,
320,6/7/2016,ENK1102E,70,,,,,,,,,,
321,6/6/2016,ENK1102E,621,,,,,,,,,,
322,6/5/2016,ENK1102E,16,,,,,,,,,,
323,6/4/2016,ENK1102E,12,,,,,,,,,,
324,6/3/2016,ENK1102E,360,,,,,,,,,,
325,6/2/2016,ENK1102E,233,,,,,,,,,,
326,6/1/2016,ENK1102E,14,,,,,,,,,,
327,5/31/2016,ENK1102E,22,,,,,,,,,,
328,5/26/2016,ENK1102E,18,,,,,,,,,,
329,5/25/2016,ENK1102E,30,,,,,,,,,,
330,5/24/2016,ENK1102E,24,,,,,,,,,,
331,5/23/2016,ENK1102E,11,,,,,,,,,,
332,5/21/2016,ENK1102E,8,,,,,,,,,,
333,5/20/2016,ENK1102E,4,,,,,,,,,,
334,5/19/2016,ENK1102E,20,,,,,,,,,,
335,5/18/2016,ENK1102E,25,,,,,,,,,,
336,5/17/2016,ENK1102E,78,,,,,,,,,,
337,5/16/2016,ENK1102E,33,,,,,,,,,,
338,5/13/2016,ENK1102E,52,,,,,,,,,,
339,5/12/2016,ENK1102E,115,,,,,,,,,,
340,5/11/2016,ENK1102E,44,,,,,,,,,,
341,5/10/2016,ENK1102E,99,,,,,,,,,,
342,5/9/2016,ENK1102E,116,,,,,,,,,,
343,5/8/2016,ENK1102E,6,,,,,,,,,,
344,5/7/2016,ENK1102E,40,,,,,,,,,,
345,5/6/2016,ENK1102E,873,,,,,,,,,,
346,5/5/2016,ENK1102E,686,,,,,,,,,,
347,5/4/2016,ENK1102E,298,,,,,,,,,,
348,5/3/2016,ENK1102E,398,,,,,,,,,,
349,5/2/2016,ENK1102E,275,,,,,,,,,,
350,5/1/2016,ENK1102E,104,,,,,,,,,,
351,4/30/2016,ENK1102E,38,,,,,,,,,,
352,4/29/2016,ENK1102E,219,,,,,,,,,,
353,4/28/2016,ENK1102E,234,,,,,,,,,,
354,4/27/2016,ENK1102E,185,,,,,,,,,,
355,4/26/2016,ENK1102E,144,,,,,,,,,,
356,4/25/2016,ENK1102E,163,,,,,,,,,,
357,4/24/2016,ENK1102E,32,,,,,,,,,,
358,4/23/2016,ENK1102E,17,,,,,,,,,,
359,4/22/2016,ENK1102E,81,,,,,,,,,,
360,4/21/2016,ENK1102E,110,,,,,,,,,,
361,4/20/2016,ENK1102E,220,,,,,,,,,,
362,4/19/2016,ENK1102E,73,,,,,,,,,,
363,4/18/2016,ENK1102E,58,,,,,,,,,,
364,4/17/2016,ENK1102E,20,,,,,,,,,,
365,4/16/2016,ENK1102E,15,,,,,,,,,,
366,4/15/2016,ENK1102E,94,,,,,,,,,,
367,4/14/2016,ENK1102E,34,,,,,,,,,,
368,4/13/2016,ENK1102E,57,,,,,,,,,,
369,4/12/2016,ENK1102E,33,,,,,,,,,,
370,4/11/2016,ENK1102E,78,,,,,,,,,,
371,4/10/2016,ENK1102E,29,,,,,,,,,,
372,4/9/2016,ENK1102E,29,,,,,,,,,,
373,4/8/2016,ENK1102E,105,,,,,,,,,,
374,4/7/2016,ENK1102E,154,,,,,,,,,,
375,4/6/2016,ENK1102E,104,,,,,,,,,,
376,4/5/2016,ENK1102E,119,,,,,,,,,,
377,4/4/2016,ENK1102E,109,,,,,,,,,,
378,4/3/2016,ENK1102E,60,,,,,,,,,,
379,4/2/2016,ENK1102E,56,,,,,,,,,,
380,4/1/2016,ENK1102E,293,,,,,,,,,,
381,11/8/2016,ENK1106M,115,,,,,,,,,,
382,11/6/2016,ENK1106M,991,991,,,,,,,,,
383,11/5/2016,ENK1106M,848,848,,,,,,,,,
384,11/4/2016,ENK1106M,530,530,,,,,,,,,
385,11/3/2016,ENK1106M,364,364,,,,,,,,,
386,11/2/2016,ENK1106M,392,392,,,,,,,,,
387,11/1/2016,ENK1106M,342,342,,,,,,,,,
388,10/31/2016,ENK1106M,220,220,,,,,,,,,
389,10/30/2016,ENK1106M,216,216,,,,,,,,,
390,10/29/2016,ENK1106M,174,174,,,,,,,,,
391,10/28/2016,ENK1106M,211,211,,,,,,,,,
392,10/27/2016,ENK1106M,138,138,,,,,,,,,
393,10/26/2016,ENK1106M,105,105,,,,,,,,,
394,10/25/2016,ENK1106M,213,213,,,,,,,,,
395,10/24/2016,ENK1106M,110,110,,,,,,,,,
396,10/23/2016,ENK1106M,82,82,,,,,,,,,
397,10/22/2016,ENK1106M,66,66,,,,,,,,,
398,10/21/2016,ENK1106M,88,88,,,,,,,,,
399,10/20/2016,ENK1106M,82,82,,,,,,,,,
400,10/19/2016,ENK1106M,192,192,,,,,,,,,
401,10/18/2016,ENK1106M,52,52,,,,,,,,,
402,10/17/2016,ENK1106M,94,94,,,,,,,,,
403,10/16/2016,ENK1106M,82,82,,,,,,,,,
404,10/15/2016,ENK1106M,60,60,,,,,,,,,
405,10/14/2016,ENK1106M,66,66,,,,,,,,,
406,10/13/2016,ENK1106M,112,112,,,,,,,,,
407,10/12/2016,ENK1106M,126,126,,,,,,,,,
408,10/11/2016,ENK1106M,156,156,,,,,,,,,
409,10/10/2016,ENK1106M,60,60,,,,,,,,,
410,10/9/2016,ENK1106M,70,70,,,,,,,,,
411,10/8/2016,ENK1106M,48,48,,,,,,,,,
412,10/7/2016,ENK1106M,71,71,,,,,,,,,
413,10/6/2016,ENK1106M,96,11464,,,,,,,,,
414,10/5/2016,ENK1106M,66,,,,,,,,,,
415,10/4/2016,ENK1106M,80,,,,,,,,,,
416,10/3/2016,ENK1106M,64,,,,,,,,,,
417,10/2/2016,ENK1106M,27,,,,,,,,,,
418,10/1/2016,ENK1106M,58,,,,,,,,,,
419,9/30/2016,ENK1106M,32,,,,,,,,,,
420,9/29/2016,ENK1106M,53,,,,,,,,,,
421,9/28/2016,ENK1106M,112,,,,,,,,,,
422,9/27/2016,ENK1106M,248,,,,,,,,,,
423,9/26/2016,ENK1106M,58,,,,,,,,,,
424,9/25/2016,ENK1106M,6,,,,,,,,,,
425,9/24/2016,ENK1106M,38,,,,,,,,,,
426,9/23/2016,ENK1106M,68,,,,,,,,,,
427,9/22/2016,ENK1106M,102,,,,,,,,,,
428,9/21/2016,ENK1106M,71,,,,,,,,,,
429,9/20/2016,ENK1106M,98,,,,,,,,,,
430,9/19/2016,ENK1106M,12,,,,,,,,,,
431,9/18/2016,ENK1106M,2,,,,,,,,,,
432,9/17/2016,ENK1106M,2,,,,,,,,,,
433,9/16/2016,ENK1106M,26,,,,,,,,,,
434,9/15/2016,ENK1106M,60,,,,,,,,,,
435,9/14/2016,ENK1106M,45,,,,,,,,,,
436,9/13/2016,ENK1106M,46,,,,,,,,,,
437,9/12/2016,ENK1106M,34,,,,,,,,,,
438,9/11/2016,ENK1106M,2,,,,,,,,,,
439,9/10/2016,ENK1106M,2,,,,,,,,,,
440,9/9/2016,ENK1106M,34,,,,,,,,,,
441,9/8/2016,ENK1106M,66,,,,,,,,,,
442,9/7/2016,ENK1106M,88,,,,,,,,,,
443,9/6/2016,ENK1106M,49,,,,,,,,,,
444,9/5/2016,ENK1106M,2,,,,,,,,,,
445,9/3/2016,ENK1106M,2,,,,,,,,,,
446,9/2/2016,ENK1106M,24,,,,,,,,,,
447,9/1/2016,ENK1106M,53,,,,,,,,,,
448,8/31/2016,ENK1106M,31,,,,,,,,,,
449,8/30/2016,ENK1106M,38,,,,,,,,,,
450,8/29/2016,ENK1106M,74,,,,,,,,,,
451,8/26/2016,ENK1106M,9,,,,,,,,,,
452,8/25/2016,ENK1106M,17,,,,,,,,,,
453,8/24/2016,ENK1106M,43,,,,,,,,,,
454,8/23/2016,ENK1106M,8,,,,,,,,,,
455,8/19/2016,ENK1106M,8,,,,,,,,,,
456,8/18/2016,ENK1106M,13,,,,,,,,,,
457,8/17/2016,ENK1106M,10,,,,,,,,,,
458,8/16/2016,ENK1106M,6,,,,,,,,,,
459,8/15/2016,ENK1106M,8,,,,,,,,,,
460,8/12/2016,ENK1106M,10,,,,,,,,,,
461,8/11/2016,ENK1106M,12,,,,,,,,,,
462,8/10/2016,ENK1106M,11,,,,,,,,,,
463,8/9/2016,ENK1106M,8,,,,,,,,,,
464,8/8/2016,ENK1106M,10,,,,,,,,,,
465,8/7/2016,ENK1106M,2,,,,,,,,,,
466,8/6/2016,ENK1106M,2,,,,,,,,,,
467,8/5/2016,ENK1106M,16,,,,,,,,,,
468,8/4/2016,ENK1106M,18,,,,,,,,,,
469,8/3/2016,ENK1106M,14,,,,,,,,,,
470,8/2/2016,ENK1106M,12,,,,,,,,,,
471,8/1/2016,ENK1106M,44,,,,,,,,,,
472,7/31/2016,ENK1106M,2,,,,,,,,,,
473,7/30/2016,ENK1106M,2,,,,,,,,,,
474,7/29/2016,ENK1106M,40,,,,,,,,,,
475,7/28/2016,ENK1106M,27,,,,,,,,,,
476,7/27/2016,ENK1106M,48,,,,,,,,,,
477,7/26/2016,ENK1106M,20,,,,,,,,,,
478,7/25/2016,ENK1106M,31,,,,,,,,,,
479,7/22/2016,ENK1106M,34,,,,,,,,,,
480,7/21/2016,ENK1106M,29,,,,,,,,,,
481,7/20/2016,ENK1106M,4,,,,,,,,,,
482,7/19/2016,ENK1106M,17,,,,,,,,,,
483,7/18/2016,ENK1106M,28,,,,,,,,,,
484,7/15/2016,ENK1106M,18,,,,,,,,,,
