Row Number,Date,traffic
434,7-Jul-16,8841
435,8-Jul-16,7039
436,9-Jul-16,6737
437,10-Jul-16,8756
438,11-Jul-16,11532
439,12-Jul-16,6933
440,13-Jul-16,7742
441,14-Jul-16,9394
442,15-Jul-16,9800
443,16-Jul-16,9627
444,17-Jul-16,6743
445,18-Jul-16,9341
446,19-Jul-16,7788
447,20-Jul-16,8425
448,21-Jul-16,8093
449,22-Jul-16,11441
450,23-Jul-16,12249
451,24-Jul-16,10750
452,25-Jul-16,9794
453,26-Jul-16,8208
454,27-Jul-16,13447
455,28-Jul-16,11444
456,29-Jul-16,9942
457,30-Jul-16,9903
458,31-Jul-16,9675
459,1-Aug-16,7102
460,2-Aug-16,7653
461,3-Aug-16,6350
462,4-Aug-16,6381
463,5-Aug-16,8825
464,6-Aug-16,8382
465,7-Aug-16,6170
466,8-Aug-16,4131
467,9-Aug-16,5584
468,10-Aug-16,5235
469,11-Aug-16,5847
470,12-Aug-16,4075
471,13-Aug-16,2862
472,14-Aug-16,4387
473,15-Aug-16,4833
474,16-Aug-16,5196
475,17-Aug-16,5771
476,18-Aug-16,10191
477,19-Aug-16,7011
478,20-Aug-16,5259
479,21-Aug-16,5241
480,22-Aug-16,5217
481,23-Aug-16,6713
482,24-Aug-16,6353
483,25-Aug-16,5091
484,26-Aug-16,3772
485,27-Aug-16,4891
486,28-Aug-16,5566
487,29-Aug-16,4810
488,30-Aug-16,4844
489,31-Aug-16,14597
490,1-Sep-16,10496
491,2-Sep-16,6513
492,3-Sep-16,6696
493,4-Sep-16,6028
494,5-Sep-16,6674
495,6-Sep-16,8710
496,7-Sep-16,10362
497,8-Sep-16,6704
498,9-Sep-16,5175
499,10-Sep-16,6399
500,11-Sep-16,6553
501,12-Sep-16,5987
502,13-Sep-16,7922
503,14-Sep-16,13786
504,15-Sep-16,7042
505,16-Sep-16,8572
506,17-Sep-16,7458
507,18-Sep-16,6820
508,19-Sep-16,7542
509,20-Sep-16,7078
510,21-Sep-16,7192
511,22-Sep-16,7176
512,23-Sep-16,6179
513,24-Sep-16,7244
514,25-Sep-16,6608
515,26-Sep-16,7455
516,27-Sep-16,11430
517,28-Sep-16,12966
518,29-Sep-16,15457
519,30-Sep-16,10313
520,1-Oct-16,10877
521,2-Oct-16,11607
522,3-Oct-16,10302
523,4-Oct-16,10306
524,5-Oct-16,15318
